Title,Description,Artist,Price,Quantity,Category
Taylor Swift (3 Taylor) Showgirl T-shirt,Taylor Swift (3Taylor) Showgirl T-shirt is good,Taylor Swift,60,4,T-Shirt
YES or YES (A. Version),Your favourite girls from South Koreas EP YES or YES. Comes with all the goodies inlcuded. Suprised? Yes or....,TWICE,56,1,Album
you seem pretty sad for a girl so in love,Olivia Rodrigo's third album a change but a good change. BUY NOW!,Olivia Rodrigo,24,27,Album
Guts,Olivia Rodrigo's  second album. Just as good as her first,Olivia Rodrigo,25,7,Album
Sour,Olivia Rodrigo's debut album from 2021 not sweet but...,Olivia Rodrigo,24,4,Album
Rubber Soul,The 1965 transition album from The Beatles,The Beatles,14,23,Album
Please Please Me,The debut album from The Beatles straight from 1963,The Beatles,12,65,Album
Definitely Maybe,Oasis debut 1994 album. It's great!,Oasis,34,2,Album
(What's the Story) Morning Glory,Oasis' 1995 hit record. ,Oasis,32,21,Album
Elephunk,The Black Eyed Peas know where the love is and you will too with this 2003 release,The Black Eyed Peas,16,1,Album
Oasis Black T-Shirt,The classic design you live now with all new threads,Oasis,45,33,T-Shirt
The Life of a Showgirl,Taylor Swift's hit 2025 album The life of a showgirl. Get it while it's hot!,Taylor Swift,22,14,Album
folklore,Taylor Swift's hit 2020 album folklore. For sale now!,Taylor Swift,22,6,Album
Taylor Swift,The first of her albums!,Taylor Swift,60,4,Album
Fearless,"Dive in head first, Fearless!",Taylor Swift,56,2,Album
Speak Now,Speak now or forever hold your piece,Taylor Swift,24,27,Album
Red,The best album of 2012 .. and 2021,Taylor Swift,25,7,Album
1989,What a change up Mrs Swift. Take us back,Taylor Swift,24,33,Album
reputation,A change in Reputation Buy now!,Taylor Swift,14,23,Album
lover,After a reputation change anyone could benefit from a Lover,Taylor Swift,12,65,Album
evermore,I am forever yours. Evermore,Taylor Swift,34,2,Album
Midnights,Meet me at midnight,Taylor Swift,32,21,Album
THE TORTURED POETS DEPARTMENT,Meet me in a fortnight,Taylor Swift,16,2,Album
drivers licence,It's a big deal to get your drivers liscence,Olivia Rodrigo,45,33,Single
deja vu,I get deja vu when I am with you,Olivia Rodrigo,22,14,Single
good 4 u,I can't believe they tried to steal it from you,Olivia Rodrigo,22,6,Single
vampire,"Bloodsucker, fame fu… well you know what. Buy it to find out more!",Olivia Rodrigo,60,21,Single
bad idea right?,Buying this is a bad idea right? NO,Olivia Rodrigo,56,1,Single
drop dead,If you got me this single I would drop dead,Olivia Rodrigo,24,27,Single
the cure,It could never be the cure. But it sure will be a good treatment,Olivia Rodrigo,25,7,Single
"Strawberry Fields Forever, Penny Lane",Let me take you down to this wonderful double A side,The Beatles,24,4,Single
"She Loves You, I'll Get You",I'd get you the She Loves You single ;),The Beatles,14,23,Single
Sour Trucker Hat,Your hair might be a little sour after this,Olivia Rodrigo,12,1,Hat
Sour Bucket Hat,Your head soaked in a sour bucket,Olivia Rodrigo,34,2,Hat
OR Logo Embroidered Hat,Represent your fandom clearly with this Olivia Rodrigo Embroidered Hat,Olivia Rodrigo,32,21,Hat
Striped Seagull Bucket Hat,Fans of 1989 will love to see the seagull hat arrive on their doorstep,Taylor Swift,16,2,Hat
Life of a Showgirl (3 Taylor) Hat,Match with the T-Shirt with this 3 Taylor Hat,Taylor Swift,45,33,Hat
TS Crest Navy Hat,Represent your fandom clearly with this Taylor Swift Crest Navy Hat,Taylor Swift,22,14,Hat
Last Names Yellow T-Shirt,Forget the members last names. With this shirt all you have to do is look down,The Beatles,22,6,T-Shirt
I Heart The Beatles T-Shirt,I heart The Beatles. A statement of fact,The Beatles,60,33,T-Shirt
Good Day Sunshine Hat,Live your best day saying good morning to the sunshine even while blocking it,The Beatles,56,1,Hat
All You Need is Love Socks,There's nowhere you can walk that can't be walked. In these,The Beatles,24,27,Socks
Help Socks,Help your feet feel comfortable in shoes with these,The Beatles,25,7,Socks
Supersonic Poster,I'm seeing Supersonic,Oasis,24,4,Poster
What's the Story Morning Glory Poster,Good morning. What's your story?,Oasis,14,4,Poster
Gallagher Brothers Poster,The two brothers,Oasis,12,65,Poster
The Beatles Walking in London Poster,The Beatles walking in London. Where is everyone?,The Beatles,34,2,Poster
Sgt Peppers Lonely Hearts Club Band Poster,The legendary album. In poster form,The Beatles,32,21,Poster
Abbey Road Poster,The iconic photo in poster form,The Beatles,16,2,Poster
Be Here Now,Oasis' third album. How'd that car get there?,Oasis,45,4,Album
This Is For T-Shirt,This is for all my ladies who want a wicked shirt,TWICE,22,14,T-Shirt
Paramore Spiral T-Shirt,Paramore shirts for you to look at,Paramore,22,6,T-Shirt
Brand New Eyes T-Shirt,I got some brand new eyes now they're calling me 4 eyes,Paramore,60,4,T-Shirt
Head Bang T-Shirt,Bang your head!,Paramore,56,1,T-Shirt
Shakira Squares T-Shirt,Shakira in some squares. Time to get to the root,Shakira,24,27,T-Shirt
Hard Times T-Shirt,It a Hard Time without your Hard Times T-Shirt,Paramore,25,33,T-Shirt
Black Parade T-Shirt,Welcome to the black parade,My Checmical Romance,24,4,T-Shirt
Black Parade Hoodie,Welcome to the black parade with a hood,My Checmical Romance,14,23,Hoodie
Three Cheers T-Shirt,Three cheers for this T-Shirt,My Checmical Romance,12,6,T-Shirt
Morrison Hotel,Will you stay at the Morrison Hotel. Only with the proper attire,The Doors,34,2,T-Shirt
The Doors Logo,Rep The Doors with this T-Shirt. The D O R E S,The Doors,32,21,T-Shirt
Smiley Arrows Crayon Logo T-Shirt,Blink 182's famous logo on a T-Shirt in crayon,Blink 182,16,23,T-Shirt
Smiley Arrows Crayon Logo Yellow Hoodie,Blink 182's famous logo on a hoodie in crayon,Blink 182,45,4,Hoodie
Smiley Arrows Neon Logo T-Shirt,The smiley arrows in neon,Blink 182,22,14,T-Shirt
Vol. 4 T-Shirt,Black Sabbath's Vol. 4 on a T-Shirt,Black Sabbath,22,6,T-Shirt
Sabbath Bloody Sabbath T-Shirt,Sabbath Bloody Sabbath on a T-Shirt,Black Sabbath,60,4,T-Shirt
Purple Black Sabbath Logo T-Shirt,Black Sabbath in the colour purple,Black Sabbath,56,1,T-Shirt
Monkey Business T-Shirt,Black Eyed Peas have some monkey business and now its your monkey business,The Black Eyed Peas,24,27,T-Shirt
Revolver T-Shirt,The famous Revolver drawing on a T-Shirt. How cool is that,The Beatles,25,7,T-Shirt
brat,It's another brat girl summer when you buy this,Charli XCX,24,4,Album
The Doors,The first Doors album. An experience to listen to,The Doors,14,4,Album
Morrison Hotel,Will you take a listen to the lounge music at the Morrison Hotel,The Doors,23,65,Album
L.A. Woman,L.A. Woman L.A. Woman The Doors. On for a good price,The Doors,2,2,Album
Three Cheers For Sweet Revenge,Let's hear you cheer. Three cheers!,My Checmical Romance,32,21,Album
The Black Parade,"When I was, a young boy, my father took me to the city to listen to this album",My Checmical Romance,16,2,Album
Ain't It Fun,Ain't it Fun to listen to this one!,Paramore,45,33,Single
crushcrushcrush,Get the single that you might have heard in rockband or guitar hero! ,Paramore,22,14,Single
Misery Business,What business are you in? Paramore seems to be in the business of misery,Paramore,22,6,Single
This is Why,This is why you need to listen to this single,Paramore,23,4,Single
After Laughter,After Laughter you can listen to this great ablum. As long as you buy it,Paramore,65,1,Album
Paramore,The self titled Paramore album. Crazy good,Paramore,24,27,Album
RIOT!,RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT! RIOT!,Paramore,25,7,Album
Technical Ecstasy,Great songs on this album. But what a weird cover. Buy it and get a closer look,Black Sabbath,24,4,Album
Sabbath Bloody Sabbath,LISTEN TO THE BLOODY SABBATH,Black Sabbath,14,23,Album
Vol 4,Where did the first 3 volumes go?,Black Sabbath,12,65,Album
Paranoid,I'm not Paranoid are you?,Black Sabbath,34,2,Album
Black Sabbath,Black Sabbath by Black Sabbath and in the album check out the song Black Sabbath,Black Sabbath,32,21,Album
Feeling This,I'm feeling this song. ,Blink 182,16,2,Single
Adam's Song,What a message. Make sure you hear it through,Blink 182,45,2,Single
All the Small Things,My little windmill!,Blink 182,22,33,Single
What's My Age Again,23?,Blink 182,22,14,Single
Apple Shampoo,Apple shampoo and Orange Conditioner,Blink 182,60,6,Single
Dammit (Growing Up),I guess this is growing up!,Blink 182,56,1,Single
Cheshire Cat,Are you a dog or a cat person. Find out with this album,Blink 182,32,27,Album
Enema of the State,Typo or…,Blink 182,16,7,Album
Dude  Ranch,Welcome to the ranch. Giddyup,Blink 182,45,4,Album
Take Off Your Pants and Jacket,Do as they say before listening to this album…,Blink 182,22,23,Album
Olivia Rodrigo The Cure Poster,It'll never be the cure….,Olivia Rodrigo,22,65,Poster
Olivia Rodrigo The Cure T-Shirt,This shirt isn't the cure but it will help I'm sure,Olivia Rodrigo,34,2,T-Shirt
Spill Your Guts Socks,Socks to spill your guts to,Olivia Rodrigo,22,21,Socks
